title,year,km,price,fuel,transmission,power,body_type,listing_date,url,source_page
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4,2018,112070,23990,Diesel,7-st. automatická,140,SUV,2026-08-10T11:40:32.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4/AmtnKZSApGG/,1
Škoda Kodiaq Exlusive Selection 2.0 TDI 142KW | 7 miest | 4x4 | Matrix LED,2024,21945,52990,Diesel,7-st. automatická,142,SUV,2026-08-10T11:40:16.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-new-exclusive-selection-7seat-20-tdi-4x4-142kw-5d2024/AmRZHN-Okwp/,1
Škoda Kodiaq Selection 142 kW 4x4 DSG | Matrix | ACC | Ťažné,2024,7452,45990,Diesel,7-st. automatická,142,SUV,2026-08-10T11:40:14.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-selection/AmyL60nBhoR/,1
Škoda Kodiaq 2.0 TDI SCR STYLE DSG 110kW150HP A7,2017,194000,18300,Diesel,Automatic,110,SUV / Off-road,2026-08-10T17:03:00.323Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-ambition-dsg-110kw150hp-a7/AeiD_xIjkfg/,1
Škoda Kodiaq Exclusive Selection 2.0 TDI 142KW 4x4,2024,10480,53390,Diesel,7-st. automatická,142,SUV,2026-08-10T13:30:12.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-new-exclusive-selection-2024-20-tdi-4x4-led-matrix/AmfLrsJr7DyO/,1
Škoda Kodiaq Selection 4x4 2.0 TDI 142kW DSG,2024,29925,45990,Diesel,7-st. automatická,142,SUV,2026-08-08T11:30:26.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-selection-4x4-20-tdi-142kw-dsg/Amna4Pv2Hs_/,1
Škoda Kodiaq Kodiaq 2.0 TDI SCR Style DSG 4x4 110kW150HP A7,2020,188100,23000,Diesel,7-gear automatic,110,SUV / Off-road,2026-03-06T14:51:31.723Z,https://www.autobazar.eu/detail/skoda-kodiaq-kodiaq-20-tdi-scr-style-dsg-4x4-110kw150hp-a7/AeEqAe0xHaN/,1
Škoda Kodiaq 2.0 TDI SCR EVO 200 L&K 4x4 DSG,2023,128677,32990,Diesel,7-st. automatická,147,SUV,2026-08-07T13:10:20.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-landk-4x4-dsg/AmPdWS_OW08/,1
"Škoda Kodiaq 2.0 TDI 4x4 DSG Sportline, Pôvodný lak, SR",2021,154160,27999,Diesel,7-st. automatická,147,SUV,2026-08-07T11:00:49.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-4x4-dsg-sportline-povodny-lak-sr/AmweVYaOOqf/,1
"Škoda Kodiaq Sportline 2,0 TDI SCR EVO 147 kW 4x4 7AP DSG",2022,57966,35490,Diesel,7-st. automatická,147,SUV,2026-08-07T07:10:21.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-sportline-20-tdi-scr-evo-147-kw-4x4-7ap-dsg/AmH1Qg2l3cH/,1
"Škoda Kodiaq Style 2,0 TDI 110 kW  7AP DSG",2022,79367,29490,Diesel,7-st. automatická,110,SUV,2026-08-07T07:10:17.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-kodiaq-style-20-tdi-110-kw-7ap-dsg/AmMtv6edmbV/,1
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,2023,150039,23900,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/AegXoj3Ouuw/,1
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG,2022,74707,32500,Diesel,7-st. automatická,110,SUV,2026-08-07T07:57:38.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmEn1Yw6kdu/,2
Škoda Kodiaq SPORTLINE 2.0 TDI 4X4 142kW 7. miest,2025,21678,54120,Diesel,7-st. automatická,142,Combi,2026-08-08T06:55:25.885Z,https://www.autobazar.eu/detail/skoda-kodiaq-sportline-20-tdi-4x4-142kw-7-miest/AeNn2BNbJhd/,2
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,2022,143851,23900,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/AeM4de50FE8/,2
"Škoda Kodiaq 2.0 TDI A7 4x4 142kw Webasto,Nelakované,Head Up,Masáž,360 kamery,Ťažné",2024,39456,38990,Diesel,7-st. automatická,142,SUV,2026-08-05T09:37:41.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-a7-4x4-142kw-webastonelakovanehead-upmasaz360-kamerytazne/AmfqenjG30_/,2
Škoda Kodiaq 2.0 TDI SCR EVO LK DSG 110kW150HP A7,2022,117057,27990,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-07T18:24:45.696Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-lk-dsg-110kw150hp-a7/AeBJvY0bvJL/,2
"Škoda Kodiaq 2.0 TDI Top Stav, Style, DSG",2022,139800,22800,Diesel,7-st. automatická,110,SUV,2026-08-08T10:51:41.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmcMGRQjfWD/,2
Škoda Kodiaq 2.0 TDI Štýle Virtual 7 miestne,2024,87600,27990,Diesel,7-st. automatická,110,SUV,2026-08-09T09:30:16.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg/AmBf89_EGH4/,2
Škoda Kodiaq 2.0 TDI SCR Style DSG 110kW150HP A7,2018,120000,20000,Diesel,7-st. automatická,110,SUV / Off-road,2026-07-29T22:14:54.180Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-style-dsg-110kw150hp-a7/Ae243k3Ae3D/,2
Škoda Kodiaq 2.0 TDI SCR EVO Joy Plus DSG 110kW150HP A7,2022,137782,23300,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-08T08:20:42.718Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-joy-plus-dsg-110kw150hp-a7/Aekmlifc04q/,2
Škoda Kodiaq 2.0 TDI SCR EVO Active DSG 110kW150HP A7,2021,130671,23900,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-08T07:12:43.569Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-active-dsg-110kw150hp-a7/Ae6qFauHQtu/,2
Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,2020,226000,22999,Diesel,7-st. automatická,176,SUV / Off-road,2026-06-02T10:30:56.917Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/AeduZVyHNG1/,2
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG 110kW150HP A7,2023,105673,24999,Diesel,7-st. automatická,110,SUV / Off-road,2026-07-13T16:31:20.532Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg-110kw150hp-a7/AebRurMNPW0/,2
Škoda Kodiaq 2.0 TDI SCR 190k LK DSG 4x4 140kW190HP A7,2019,126000,23950,Diesel,Automatická,140,SUV / Off-road,2026-08-10T09:45:15.413Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-lk-dsg-4x4-140kw190hp-a7/Ae1AIGjHjJe/,2
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2022,75000,37990,Diesel,7-st. automatická,147,SUV / Off-road,2026-08-09T20:46:54.507Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/AePiuTDNQAd/,2
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2024,37200,36500,Diesel,7-st. automatická,147,SUV / Off-road,2026-08-08T14:07:16.751Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/AeU1BcFdPLq/,2
Škoda Kodiaq Škoda KodiaQ rv. 2020,2020,148000,29900,Diesel,Automatická,176,SUV / Combi,2026-08-08T10:58:26.775Z,https://www.autobazar.eu/detail/skoda-kodiaq-skoda-kodiaq-rv-2020/AeiKwMWMpZz/,3
"Škoda Kodiaq 2.0 TDI Sportline 4x4 DSG 147kW201HP A7, 7miestne",2024,21052,48900,Diesel,7-st. automatická,142,SUV,2026-08-06T05:08:02.503Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg-147kw201hp-a7/AeFwxoljVVj/,3
