row_index,brand,model,variant,fuel,year,km,power_kw,inventory_price_eur,ab_comparable_count,ab_median_eur,ab_price_diff_pct,bz_comparable_count,bz_median_eur,bz_price_diff_pct,ab_vs_bz_pct_gap,median_spread_pct,rank_source,rank_price_diff_pct,confidence_flag,sample_sufficient,missing_critical_fields,ab_tier,bz_tier,confidence_reasons,ab_example_links,bz_example_links
74,BMW,318d,"Touring 2,0 D 143HK Stc 6g",Diesel,2009,388000,105,1600,5,5000.0,212.5,6,6199.5,287.5,-75.0,19.3,bazos,287.5,MEDIUM,True,none,moderate,broad,"moderate source disagreement 19%; sample n=6, data complete",https://www.autobazar.eu/detail/bmw-rad-3-touring-318d-touring-105kw143hp-m6/Ae0CUmJiSG-/ | https://www.autobazar.eu/detail/bmw-rad-3-318d/Am1D4R8EZpE/ | https://www.autobazar.eu/detail/bmw-rad-3-touring-318d/Am26qrOEzdL/,https://auto.bazos.sk/inzerat/194071361/bmw-e91-318d-m-paket-sport-edition.php | https://auto.bazos.sk/inzerat/194368185/bmw-e91-320d-m47.php | https://auto.bazos.sk/inzerat/193710607/predam-bmw-318d-e91.php
57,VW,Passat,"2,0 TDI DSG 140HK 6g Aut.",Diesel,2006,386000,103,900,7,2490.0,176.7,3,14499.0,,,82.8,autobazar,176.7,MEDIUM,True,none,moderate,broad,"single usable source (AB 7/BZ 3); no cross-check; sample n=7, data complete",https://www.autobazar.eu/detail/volkswagen-passat-20-tdi-comfortline-dsg-103kw140hp-a6/AeEi7xXqd0r/ | https://www.autobazar.eu/detail/vw-passat-19-tdi-automat-po-stk-klima/AmSxpL5Qjop/ | https://www.autobazar.eu/detail/vw-passat-20-tdi-klima-tempomat/AmtM6FKh521/,https://auto.bazos.sk/inzerat/194432957/vw-passat-b85-20-tdi-110-kw-dsg.php | https://auto.bazos.sk/inzerat/193817915/volkswagen-passat-variant-20-tdi-dsg103-kw-2-sady-kolies.php | https://auto.bazos.sk/inzerat/193956701/volkswagen-passat-b8-combi-dsg-20-tdi-90kw.php
5,Subaru,Impreza,2.0 154HP Automatic Active,Petrol,2019,66220,113,11000,0,,,1,28800.0,161.8,,,bazos,161.8,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=0, BZ n=1)",,https://auto.bazos.sk/inzerat/194408768/subaru-impreza-wtx-sti-white-edition.php
50,Ford,S-Max,1.5 159HP Manual Titanium,Petrol,2017,330000,117,3800,0,,,10,9149.5,140.8,,,bazos,140.8,LOW,True,none,broad,broad,50% of comparables missing year/km; best sample n=10,,https://auto.bazos.sk/inzerat/194460674/ford-s-max-20-tdci-duratorq-150-at-facelift-2015.php | https://auto.bazos.sk/inzerat/194374595/ford-s-max.php | https://auto.bazos.sk/inzerat/194347331/ford-s-max-20-tdci-ecoblue-150-family-at-7miestne.php
78,BMW,2 Series,1.5 108HP Manual 216i,Petrol,2020,125000,79,9000,0,,,6,20894.0,132.2,,,bazos,132.2,LOW,True,none,broad,broad,100% of comparables missing year/km; best sample n=6,,https://auto.bazos.sk/inzerat/194340707/bmw-218i-gran-coupe-2020-57-970-km-17-900-e.php | https://auto.bazos.sk/inzerat/194334414/predam-bmw-218i-active-tourer-nepojazdne.php | https://auto.bazos.sk/inzerat/193841982/bmw-730ld-m-paket-2021-84-000-km-odpocet-dph.php
87,Mercedes,A-Class,1.6 155HP Automatic A 200,Petrol,2017,154000,114,9500,3,20200.0,112.6,0,,,,,autobazar,112.6,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=3, BZ n=0)",https://www.autobazar.eu/detail/mercedes-benz-a-trieda-a-180-at-100kw136hp-a7/AeHnm-D8qad/ | https://www.autobazar.eu/detail/mercedes-benz-a-trieda-a-200-at-120kw163hp-a7/AeLhvUyfzRM/ | https://www.autobazar.eu/detail/mercedes-benz-a-trieda-180-t/Amcoj4NROl5/,
37,BMW,3 Series,2.0 182HP Automatic 320i M-sport,Petrol,2019,113000,134,13500,3,23999.0,77.8,2,18944.5,40.3,37.5,21.1,autobazar,77.8,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=3, BZ n=2)",https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-at-135kw184hp-a8/Ae8-5c7q1Yo/ | https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-m-sport-shadow-at-135kw184hp-a8/AeNm7uoRdjn/ | https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-at-135kw183hp-a8/AexlfLb-TCz/,https://auto.bazos.sk/inzerat/194348164/bmw-320d-xdrive-msport.php | https://auto.bazos.sk/inzerat/193485592/bmw-3-320d-xdrive.php
73,BMW,3 Series,2.0 182HP Automatic 320i,Petrol,2019,115000,134,14000,3,23999.0,71.4,2,18944.5,35.3,36.1,21.1,autobazar,71.4,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=3, BZ n=2)",https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-at-135kw184hp-a8/Ae8-5c7q1Yo/ | https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-m-sport-shadow-at-135kw184hp-a8/AeNm7uoRdjn/ | https://www.autobazar.eu/detail/bmw-rad-3-320i-xdrive-at-135kw183hp-a8/AexlfLb-TCz/,https://auto.bazos.sk/inzerat/194348164/bmw-320d-xdrive-msport.php | https://auto.bazos.sk/inzerat/193485592/bmw-3-320d-xdrive.php
43,Mercedes,Gla-Class,1.6 154HP Automatic GLA 200,Petrol,2017,221000,113,9800,4,16300.0,66.3,3,10500.0,7.1,59.2,35.6,autobazar,66.3,MEDIUM,True,none,broad,broad,"single usable source (AB 4/BZ 3); no cross-check; sample n=4, data complete",https://www.autobazar.eu/detail/mercedes-benz-gla-180-entry-at-90kw122hp-a7/AeHT_JbiwIh/ | https://www.autobazar.eu/detail/mercedes-gla-gla-180-kuze-navi-tempomat/Aml3TJHNMrv/ | https://www.autobazar.eu/detail/mercedes-gla-gla-180-automat-kuze-navi/AmM46QcxsCr/,https://auto.bazos.sk/inzerat/193727520/mercedes-gla-200-d-facelift-automat-kupa-sr.php | https://auto.bazos.sk/inzerat/194436054/mercedes-benz-gla-h247-orig-20-s-letnymi-pneu-7mm.php | https://auto.bazos.sk/inzerat/194475244/mercedes-benz-gla-200-d-4matic-a7-2015-201000km.php
33,BMW,X3,2.0 249HP Automatic xDrive 30i,Petrol,2019,139900,183,20000,2,29745.0,48.7,1,26490.0,32.5,16.2,10.9,autobazar,48.7,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=2, BZ n=1)",https://www.autobazar.eu/detail/bmw-x3-xdrive30i-m-sport-at-185kw252hp-a8/AeazTplwzOQ/ | https://www.autobazar.eu/detail/bmw-x3-xdrive30i-2018-185kw-harman-kardon-xline/AmL5MclIzrE/,https://auto.bazos.sk/inzerat/192852073/bmw-x3-xdrive30d-luxury-line-at-195kw-rv-072019.php
